index,time,x,y,z,intensity
39,1580970552434,-0.0001734993,0.0002087397,0.0008465808,1
40,1580970552440,-0.0001773993,0.0004544397,0.0009557808,1
41,1580970552446,-0.0001773993,0.0002906397,0.0008348808,1
42,1580970552452,-2.91992999999977E-05,0.0002906397,0.0008348808,1
43,1580970552458,-6.03992999999997E-05,0.0001970397,0.0006008808,1
44,1580970552464,2.00070000000441E-06,0.0003140397,0.0006944808,1
45,1580970552470,-0.0001188993,0.0003335397,0.0010376808,1
46,1580970552476,-0.0001188993,0.0003335397,0.0010376808,1
47,1580970552482,-0.0002553993,0.0004115397,0.0010571808,1
48,1580970552487,0.0001736007,0.0003218397,0.0007607808,1
49,1580970552493,0.0001736007,0.0002945397,0.0005540808,1
50,1580970552499,-1.74993000000012E-05,0.0002945397,0.0005540808,1
51,1580970552505,-0.0001344993,0.0002672397,0.0006866808,1
52,1580970552511,-8.76993000000006E-05,0.0002165397,0.0007607808,1
53,1580970552516,-8.76993000000006E-05,0.0002165397,0.0007607808,1
54,1580970552522,-0.0001188993,0.0002867397,0.0010727808,1
55,1580970552528,-7.59992999999973E-05,8.78397000000017E-05,0.0008426808,1
56,1580970552534,-0.0001734993,0.0001697397,0.0008465808,1
57,1580970552539,-0.0001734993,0.0001697397,0.0008465808,1
58,1580970552545,-0.0001032993,0.0003608397,0.0010649808,1
59,1580970552551,-0.0001695993,0.0002048397,0.0007022808,1
60,1580970552557,-0.0001422993,0.0003569397,0.0006632808,1
61,1580970552562,-0.0001422993,0.0003569397,0.0006632808,1
62,1580970552568,-0.0002241993,0.0001502397,0.0006281808,1
63,1580970552574,-0.0002358993,0.0003530397,0.0009830808,1
64,1580970552580,-0.0001890993,0.0002984397,0.0008699808,1
65,1580970552586,-0.0001890993,0.0002984397,0.0008699808,1
66,1580970552592,2.93006999999984E-05,0.0002516397,0.0006671808,1
67,1580970552597,1.7600700000002E-05,0.0002984397,0.0006827808,1
68,1580970552603,1.7600700000002E-05,0.0002984397,0.0006827808,1
69,1580970552609,-0.0001968993,0.0001970397,0.0005891808,1
70,1580970552615,-0.0003372993,0.0003023397,0.0009830808,1
71,1580970552621,-3.30992999999988E-05,0.0004934397,0.0007100808,1
72,1580970552626,-3.30992999999988E-05,0.0004934397,0.0007100808,1
73,1580970552632,0.0003998007,0.0001970397,0.0005033808,1
74,1580970552638,0.0001073007,0.0003452397,0.0007334808,1
75,1580970552644,-2.13992999999954E-05,0.0002633397,0.0005891808,1
76,1580970552650,-2.13992999999954E-05,0.0002633397,0.0005891808,1
77,1580970552655,-0.0001110993,0.0002360397,0.0007412808,1
78,1580970552661,-1.89929999999672E-06,8.78397000000017E-05,0.0009752808,1
79,1580970552667,-1.89929999999672E-06,8.78397000000017E-05,0.0004994808,1
80,1580970552673,-7.59992999999973E-05,0.0003062397,0.0004994808,1
81,1580970552679,-0.0001929993,0.0003491397,0.0008582808,1
82,1580970552685,-4.47992999999952E-05,0.0002789397,0.0007919808,1
83,1580970552690,-4.47992999999952E-05,0.0002789397,0.0007919808,1
84,1580970552696,-5.25992999999975E-05,0.0002009397,0.0007919808,1
85,1580970552702,0.0001190007,0.0004076397,0.0008504808,1
86,1580970552708,-6.42993000000008E-05,0.0001853397,0.0007724808,1
87,1580970552714,-6.42993000000008E-05,0.0001853397,0.0007724808,1
88,1580970552720,-6.8199299999995E-05,0.0003491397,0.0009713808,1
89,1580970552725,-6.8199299999995E-05,0.0002867397,0.0008543808,1
90,1580970552731,-0.0001032993,0.0001541397,0.0006827808,1
91,1580970552737,-0.0001032993,0.0001541397,0.0006827808,1
92,1580970552751,-9.69929999999897E-06,0.0003452397,0.0006554808,1
93,1580970552757,0.0001112007,0.0004466397,0.0009245808,1
94,1580970552762,4.49007000000029E-05,0.0002906397,0.0005579808,1
95,1580970552768,4.49007000000029E-05,0.0002906397,0.0005579808,1
96,1580970552774,-3.30992999999988E-05,0.0003179397,0.0008777808,1
